Name,Share Price (CNY),Total Volume,Maeket Capitalization in (CNY),Industry
THALYS？MEDICAL？TECHNOLOGY？ GROUP CORPORATION.,7.08,31.975M,1.376B,Distribution services
"TIANYU BIO-TECHNOLOGY CO.,LTD.",5.3,1.784M,1.587B,Commercial services
SHANGHAI HILE BIO-TECHNOLOGY,6.4,3.243M,4.25B,Health technology
"BESTORE CO.,LTD",9.96,3.754M,4.102B,Retail trade
TVZONE MEDIA,19.92,6.248M,2.673B,Consumer services
"WUXI ACRYL TECHNOLOGY CO.,LTD",33.03,701.7K,2.981B,Process industries
GUANGDONG TIANAN NEW MATERIAL,5.62,2.957M,1.747B,Process industries
ZHEJIANG LANGDI GROUP,12.9,2.151M,2.421B,Producer manufacturing
BOMESC OFFSHORE ENGINEERING COMPANY LIMITED,10.43,2.267M,2.911B,Industrial services
"SHANGHAI MOONS' ELECTRIC CO.,LTD.",33.53,16.755M,15.492B,Producer manufacturing
"SHANGHAI LONGYUN MEDIA GROUP CO., LTD",11.89,3.205M,1.147B,Commercial services
SHANGHAI DAIMAY AUTOMOTIVE INTERIOR,8.21,1.003M,13.685B,Producer manufacturing
"XIANHE CO.,LTD.",15.44,1.838M,11.006B,Process industries
"SKSHU PAINT CO., LTD",27.22,3.184M,14.719B,Process industries
"TKD SCIENCE AND TECHNOLOGY CO.,LTD.",12.76,11.662M,5.025B,Electronic technology
QINGDAO VLAND BIOTECH INC,10.7,5.303M,2.771B,Health technology
"QINGDAO RICHEN FOOD CO.,LTD.",24.12,1.409M,2.307B,Consumer non-durables
"ZHEJIANG DAYUAN PUMPS INDUSTRY CO., LTD",16.76,403.2K,2.787B,Producer manufacturing
CHONGQING QIN'AN M&E PLC.,6.6,1.455M,2.785B,Producer manufacturing
"HAITIAN WATER GROUP CO.,LTD.",5.59,1.279M,2.609B,Utilities
"LONCIN MOTOR CO.,LTD.",6.32,41.294M,12.953B,Consumer durables
"ZHEJIANG ZOMAX TRANSMISSION CO.,LTD.",9.86,4.132M,3.112B,Producer manufacturing
HEFEI CHANGQING MACHINERY COMPANY LIMITED,10.3,3.2M,2.601B,Producer manufacturing
"WG TECH（JIANGXI）CO., LTD",16.72,3.739M,3.822B,Consumer durables
YOUON TECHNOLOGY CO LTD,9.61,2.841M,2.23B,Technology services
SHANGHAI LAIYIFEN,8.25,1.712M,2.82B,Consumer non-durables
GUOSHENG SHIAN TECHNOLOGY,2.57,7.188M,1.678B,Commercial services
WEILONG GRAPE WINE,7.59,2.21M,2.612B,Consumer non-durables
KEBODA TECHNOLOGY,45.16,805.8K,18.616B,Producer manufacturing
JIANGSU XINRI E-VEHICLE,8.75,1.315M,2.025B,Consumer durables
NINGBO GAOFA AUTOMOTIVE CONTROL SYSTEM,10.77,1.171M,2.443B,Producer manufacturing
THINKER AGRICULTURAL MACHINERY,6.46,2.802M,1.796B,Producer manufacturing
ARGUS (SHANGHAI) TEXTILE CHEMICALS,8.67,1.119M,1.659B,Process industries
"GUANGDONG LIANTAI ENVIRONMENTAL PROTECTION CO.,LTD.",3.1,2.066M,1.823B,Industrial services
QINGDAO COPTON TECHNOLOGY COMPANY LIMITED,7.43,1.18M,1.926B,Process industries
ZHEJIANG HUAYOU COBALT,21.67,37.071M,38.429B,Non-energy minerals
"JIANGSU HONGTIAN TECHNOLOGY CO.,LTD.",17.26,797K,3.69B,Industrial services
"ZBOM HOME COLLECTION CO.,LTD",9.9,3.352M,4.283B,Consumer durables
"RAISECOM TECHNOLOGY CO.,LTD.",5.62,4.236M,2.46B,Electronic technology
HANGZHOU FIRST APPLIED MATERIAL,13.7,25.138M,36.914B,Producer manufacturing
"SHENZHEN ELLASSAY FASHION CO.,LTD.",6.1,1.737M,2.24B,Consumer non-durables
CHENGDU HAONENG TECHNOLOGY,7.11,5.047M,4.103B,Distribution services
JIANGSU FENGSHAN GROUP,7.71,7.853M,1.259B,Process industries
"ZHEJIANG CHENG YI PHARMACEUTICAL CO.,LTD.",6.18,7.63M,2.088B,Health technology
"GUANGDONG GENSHO LOGISTICS CO.,LTD",9.1,594.2K,964.038M,Transportation
"ANHUI GOURGEN TRAFFIC CONSTRUCTION CO.,LTD.",5.17,2.802M,3.243B,Industrial services
"JASON FURNITURE（HANGZHOU）CO.,LTD.",25,5.741M,20.186B,Consumer durables
"FUJIAN HAIXIA ENVIRONMENTAL PROTECTION GROUP CO.,LTD.",4.48,2.846M,2.389B,Industrial services
"QUMEI HOME FURNISHINGS GROUP CO., LTD",2.22,8.101M,1.557B,Consumer durables
CHANGZHOU SHENLI ELECTRICAL MACHINE INCORPORATED COMPANY,8.9,601.667K,1.95B,Producer manufacturing
"ZHE JIANG JIAAO ENPROTECH STOCK CO., LTD",22.1,391.7K,1.729B,Process industries
"LILY GROUP CO.,LTD",8.91,2.384M,3.754B,Process industries
"HYLINK DIGITAL SOLUTION CO.,LTD",7.86,13.96M,2.108B,Commercial services
"FUJIAN KUNCAI MATERIAL TECHNOLOGY CO.,LTD",32.03,4.185M,20.973B,Process industries
"SUZHOU KELIDA BUILDING& DECORATION CO.,LTD",1.56,2.94M,901.263M,Commercial services
JIANGSU LUOKAI MECHANICAL AND ELECT,11.44,1.303M,1.859B,Producer manufacturing
OPPEIN HOME GROUP INC.,46.55,1.725M,29.057B,Consumer durables
BONDEX SUPPLY CHAIN MANAGEMENT,10.96,681.8K,2.284B,Transportation
"GUANGDNG SITONG GROUP CO.,LTD",3.98,3.548M,1.296B,Consumer durables
"ANZHENG FASHION GROUP CO.,LTD",4.21,22.768M,1.816B,Consumer non-durables
ZHENGPING ROAD & BRIDGE CONSTRUCTION,2.76,19.2M,2.036B,Industrial services
"GUANGDONG HOTATA TECHNOLOGY GROUP CO., LTD.",12.34,798.3K,5.072B,Consumer durables
WAROM TECHNOLOGY INCORPORATED COMPA,17.81,1.215M,5.981B,Producer manufacturing
SHANDONG DONGHONG PIPE INDUSTRY CO,10.01,1.27M,2.597B,Producer manufacturing
"SHANDONG BUCHANG PHARMACEUTICALS CO., LTD",14.8,1.806M,15.929B,Health technology
"NANCAL TECHNOLOGY CO.,LTD",15.5,2.969M,3.922B,Electronic technology
ROADMAINT CO LTD,24.78,1.645M,1.69B,Technology services
GUANGZHOU BAIYUN ELECTRIC EQUIPMENT,7.32,2.692M,3.147B,Producer manufacturing
"GUANGDONG SONGYANG RECYCLE RESOURCES CO.,LTD",24.41,4.305M,5.096B,Process industries
TOLY BREAD,5.25,19.122M,8.661B,Retail trade
"ZHEJIANG XINHUA CHEMICAL CO.,LTD",20.05,803.04K,3.683B,Process industries
"SHANGHAI FLYCO ELECTRICAL APPLIANCE CO., LTD",34.51,601.8K,15.368B,Consumer durables
"ENC DIGITAL TECHNOLOGY CO., LTD",4.57,3.403M,2.305B,Technology services
"JIA YOU INTERNATIONAL LOGISTICS CO., LTD",16.24,6.166M,15.986B,Transportation
"JIANGSU DINGSHENG NEW MATERIALS JOINT-STOCK CO.,LTD",8.07,4.903M,7.397B,Non-energy minerals
NINGBO PEACEBIRD FASHION,12.44,1.562M,5.826B,Consumer non-durables
"JIANGSU WUJIN STAINLESS STEEL PIPE GROUP CO.,LTD.",5.41,2.197M,3.075B,Non-energy minerals
"YONGYUE SCIENCE&TECHNOLOGY CO.,LTD",2.73,4.228M,959.355M,Process industries
"JIANGSU NANFANG MEDICAL CO.,LTD.",3.44,2.95M,1.012B,Health technology
"SHANGHAI ATHUB CO.,LTD.",11.83,4.997M,7.238B,Technology services
GUANGZHOU KINGMED DIAGNOSTICS GROUP,25.66,5.312M,12.502B,Health services
LBX PHARMACY CHAIN JOINT STOCK COMPANY,12.32,11.417M,9.488B,Retail trade
"JUNEYAO AIRLINES CO., LTD",10.66,10.803M,24.074B,Transportation
"GANSO CO., LTD",13.79,718.9K,3.322B,Consumer non-durables
"SHANGHAI CDXJ DIGITAL TECHNOLOGY CO.,LTD.",5.6,9.459M,2.67B,Industrial services
"XINHUANETCO.,LTD.",18.72,4.113M,10.002B,Technology services
ZHEJIANG XINAO TEXTILES INC.,6.46,7.796M,4.968B,Process industries
"SUZHOU CHUNQIU ELECTRONIC TECHNOLOGY CO., LTD",7.99,6.269M,3.526B,Producer manufacturing
FUZHOU ROCKCHIP ELECTRONICS CO LTD,53.1,2.15M,22.203B,Electronic technology
"SHANGHAI TIANYONG ENGINEERING CO.,LTD",16.97,806K,1.877B,Distribution services
ZHEJIANG SHOUXIANGU PHARMACEUTICAL,21.62,1.187M,4.187B,Health technology
"ZHEJIANG GRANDWALL ELECTRIC SCIENCE&TECHNOLOGY CO.,LTD.",16.6,1.683M,3.429B,Producer manufacturing
"GUANGZHOU HOLIKE CREATIVE HOME CO.,LTD.",7.13,1.084M,2.185B,Consumer durables
SHANGHAI M&G STATIONERY INC.,25.8,3.117M,24.12B,Consumer non-durables
LEYSEN JEWELLERY INC,5.51,31.42M,1.956B,Retail trade
HANGZHOU YOUNGSUN INTELLIGENT EQUIPMENT,5.97,3.169M,2.892B,Producer manufacturing
CSD WATER SERVICE,5.68,1.932M,1.476B,Industrial services
JIANGSU LOPAL TECH.,6.48,4.824M,3.73B,Process industries
"COMEFLY OUTDOOR CO.,LTD",20.13,3.108M,1.809B,Consumer durables
"C&D HOLSIN ENGINEERING CONSULTING CO., LTD",6.81,2.419M,1.833B,Industrial services
"NANJING CANATAL DATA-CENTRE ENVIRONMENTAL TECH CO., LTD",5.5,6.174M,3.022B,Producer manufacturing
JIANGSU GUOMAO REDUCER,8,5.646M,5.342B,Producer manufacturing
"SOBUTE NEW MATERIALS CO., LTD",6.95,9.554M,3.147B,Non-energy minerals
NINGBO HELI TECHNOLOGY,10.71,5.01M,2.275B,Producer manufacturing
"SHANGHAI GOLDEN BRIDGE INFOTECH CO.,LTD.",8.53,6.849M,3.213B,Technology services
"JINHUI LIQUOR CO.,LTD.",16.81,2.276M,8.674B,Consumer non-durables
"OLYMPIC CIRCUIT TECHNOLOGY CO.,LTD",18.99,8.48M,12.672B,Electronic technology
SUZHOU JINHONGSHUN AUTO PARTS,14.77,355.26K,2.692B,Producer manufacturing
"TIELIU CO.,LTD.",7.62,878.42K,1.82B,Producer manufacturing
"SINOSOFT CO.,LTD",15.35,4.862M,13.056B,Technology services
"SUZHOU XINGYE MATERIALS TECHNOLOGY CO.,LTD.",7.29,1.312M,1.952B,Process industries
"L&K ENGINEERING(SUZHOU)CO.,LTD.",21.13,1.837M,4.585B,Industrial services
"HANGZHOU GREENDA ELECTRONIC MATERIALS CO.,LTD",17.7,760.9K,3.602B,Process industries
"FUJIAN RAYNEN TECHNOLOGY CO.,LTD",11.77,2.892M,2.507B,Producer manufacturing
BOMIN ELECTRONICS,7.03,9.909M,4.489B,Electronic technology
JIANGSU LIDAO NEW MATERIAL,7.7,1.602M,1.613B,Non-energy minerals
"TANGSHAN SUNFAR SILICON INDUSTRIES CO., LTD",9.69,1.193M,3.777B,Process industries
YIFENG PHARMACY CHAIN,18.51,8.785M,22.974B,Retail trade
ZHEJIANG JIANYE CHEMICAL CO.，LTD,14.63,345.3K,2.416B,Process industries
"XUELONG GROUP CO.,LTD.",9.57,994.7K,2.059B,Producer manufacturing
XIANGYANG CHANGYUANDONGGU INDUSTRY,11.55,1.627M,3.825B,Producer manufacturing
"DAQIAN ECOLOGY & ENVIRONMENT GROUP CO., LTD",7.45,1.698M,1.033B,Commercial services
"WPG (SHANGHAI) SMART WATER PUBLIC CO.,LTD",4.49,1.876M,2.286B,Producer manufacturing
"HARSON TARDING (CHINA) CO.,LTD.",8.36,16.956M,1.884B,Consumer non-durables
HUNAN BAILI ENGINEERING SCI&TECH,1.69,8.353M,789.381M,Industrial services
"SHANGHAI KELAI MECHATRONICS ENGINEERING CO.,LTD.",17.3,9.299M,4.719B,Producer manufacturing
"DALI PHARMACEUTICAL CO.,LTD.",3.29,5.556M,711.828M,Health technology
"EUROCRANE (CHINA) CO.,LTD.",6.8,16.717M,2.538B,Producer manufacturing
"CHINA MASTER LOGISTICS.,LTD.",8.42,1.207M,2.912B,Transportation
"NAN TONG ACETIC ACID CO.,  LTD.",8.48,1.106M,1.777B,Process industries
"SILVERY DRAGON PRESTRESSED MATERIALS CO., LTD. TIANJIN",4.1,6.414M,3.523B,Non-energy minerals
"SINO-AGRI LEADING BIOSCIENCES CO.,LTD.",11.87,1.397M,3.22B,Process industries
"CHONGQING ZHENGCHUAN PHARMACEUTICAL PACKAGING CO.,LTD.",14.49,1.366M,2.152B,Consumer durables
JIANGXI GUOTAI GROUP,9.44,2.624M,5.976B,Process industries
SHENZHEN SUNXING LIGHT ALLOYS MATERIALS,9.08,4.688M,1.604B,Non-energy minerals
"JCHX MINING MANAGEMENT CO.,LTD.",41.5,2.59M,25.345B,Non-energy minerals
"ZHEJIANG JIHUA GROUP CO.,LTD",3.46,27.993M,2.457B,Process industries
"NANJING CHERVON AUTO PRECISION TECHNOLOGY CO., LTD",7.08,2.478M,1.887B,Producer manufacturing
"GUANGDONG MARUBI BIOTECHNOLOGY CO., LTD",21.74,1.186M,8.912B,Consumer non-durables
"JIANGYIN HENGRUN HEAVY INDUSTRIES CO.,LTD",9.35,4.321M,4.219B,Producer manufacturing
GIGADEVICE SEMICONDUCTOR INC.,73.65,14.704M,48.95B,Electronic technology
"SHANGHAI KINDLY ENTERPRISE DEVELOPMENT GROUP CO.,LTD.",6.02,2.481M,2.677B,Health technology
SEC ELECTRIC MACHINERY,11.46,36.225M,2.637B,Producer manufacturing
"HUNAN AIHUA GROUP C0.,LTD.",11.3,1.821M,4.609B,Electronic technology
SUZHOU MEDICALSYSTEM TECHNOLOGY,7.37,15.576M,2.337B,Technology services
"SHANGHAI ORIGINAL ADVANCED COMPOUNDS CO., LTD",36.23,447.8K,2.709B,Process industries
XIAMEN SOLEX HIGH-TECH INDUSTRIES,16.49,562.7K,6.728B,Producer manufacturing
CMOC GROUP LIMITED,7.44,78.753M,153.473B,Distribution services
"YONGJIN TECHNOLOGY GROUP CO., LTD",16.03,2.244M,5.937B,Non-energy minerals
"NINGBO JIFENG AUTO PARTS CO.,LTD.",10.9,5.138M,13.772B,Producer manufacturing
HUNAN FANGSHENG PHARMACEUTICAL,10.99,2.154M,4.827B,Health technology
"DUZHE PUBLISHING&MEDIA CO.,LTD.",4.68,5.841M,2.776B,Consumer services
"QINGDAO VICTALL RAILWAY CO.,LTD.",4.97,6.355M,1.988B,Producer manufacturing
ZHONGWANG FABRIC,14.97,225.3K,1.644B,Process industries
CWB AUTOMOTIVE ELECTRONICS,14.82,735.3K,5.951B,Producer manufacturing
SHANDONG FIBERGLASS GROUP CO LTD,4.04,1.375M,2.535B,Non-energy minerals
WUZHOU SPECIAL PAPER GROUP,10.97,1.71M,4.483B,Process industries
NINGBO CHANGHONG POLYMER SCIENTIFIC & TECHNICAL INC.,11.21,388.74K,7.286B,Process industries
"HANGZHOU HAOYUE PERSONAL CARE CO., LTD",34.79,424.798K,5.476B,Consumer non-durables
HANGZHOU COGENERATION GROUP CO LTD,19.21,3.287M,7.69B,Distribution services
"SHANDONG BAILONG CHUANGYUAN BIO-TECH CO.,LTD.",14.76,1.447M,4.833B,Consumer non-durables
CHANGHUA HOLDING GROUP,7.47,990.95K,3.593B,Producer manufacturing
ZHEJIANG YONGHE REFRIGERANT,15.03,2.351M,5.841B,Process industries
"NINGBO SHIMAO ENERGY CO.,LTD",12.51,430.387K,2.037B,Utilities
SHAANXI MEIBANG PHARMACEUTICAL GROUP,10.76,1.062M,1.487B,Process industries
FRIEND,7.67,1.353M,3.859B,Transportation
ZHEJIANG YINGFENG TECHNOLOGY CO LTD,4.08,1.256M,1.778B,Process industries
"XIANHENG INTERNATIOAL SCIENCE&TECHNOLOGY CO.,LTD.",9.21,3.612M,3.863B,Consumer durables
"NO.15 XINKE ROAD,XINBEI DISTRICT,CHANGZHOU, JIANGSU",17.1,2.862M,2.557B,Electronic technology
ALLIED MACHINERY,12.06,2.358M,2.957B,Producer manufacturing
ZHEJIANG TENGEN ELECTRICS CO.LTD,5.06,3.156M,2.58B,Producer manufacturing
MINGXIN AUTOMOTIVE LEATHER,11.5,1.226M,1.913B,Producer manufacturing
"BEIJING ZEHO WATERFRONT ECOLOGICAL ENVIRONMENT TREATMENT CO.,LTD.",5.72,3.094M,1.238B,Commercial services
"ZHEJIANG HUAKANG PHARMACEUTICAL CO.,LTD.",12.14,2.751M,3.904B,Health technology
"ZHEJIANG NATURAL OUTDOOR GOODS INC.,LTD",14.21,3.224M,1.941B,Consumer durables
"SHANGHAI TAIHE WATER TECHNOLOGY DEVELOPMENT CO.,LTD",11.82,2.92M,1.387B,Commercial services
LONGYAN KAOLIN CLAY,14.08,807.04K,2.57B,Non-energy minerals
GSP AUTOMOTIVE GROUP WENZHOU,17.87,1.727M,3.206B,Producer manufacturing
SUZHOU WEIZHIXIANG FOOD,17.54,748.761K,2.403B,Consumer non-durables
JIANGXI JOVO ENERGY,26.45,2.937M,16.906B,Energy minerals
SHANGHAI ACTION EDUCATION TECHNOLOGY,31.09,1.736M,3.879B,Commercial services
"CO CREATION GRASS CO.,LTD.",16.88,715.2K,6.897B,Producer manufacturing
POWER HF,10.3,751.585K,1.788B,Producer manufacturing
TONGQINGLOU CATERING CORPORATION LIMITED.,16.8,1.2M,4.449B,Consumer services
WUXI NCE POWER CO LTD,27.81,9.144M,11.779B,Electronic technology
"AURISCO PHARMACEUTICAL CO.,LTD",22.57,1.006M,9.099B,Health technology
NINGBO DEYE TECHNOLOGY,89.36,5.933M,58.17B,Producer manufacturing
XIAMEN LEADING OPTICS,13.46,5.39M,5.748B,Electronic technology
CHONGQING SIFANG NEW MATERIAL,8.78,1.302M,1.544B,Non-energy minerals
"WUXI PAIKE NEW MATERIALS TECHNOLOGY CO.,LTD.",44.71,440.084K,5.482B,Producer manufacturing
"SHANGHAI YANPU METAL PRODUCTS CO.,LTD",24.29,949.628K,2.908B,Producer manufacturing
"JIANGSU RONGTAI INDUSTRY CO.,LTD.",15.44,1.1M,2.955B,Producer manufacturing
"SHANGHAI LILY&BEAUTY COSMETICS CO., LTD.",5.7,18.748M,2.469B,Distribution services
SUNRISE MANUFACTURE GP CO LTD,4.74,2.304M,2.617B,Consumer non-durables
"WEST SHANGHAI AUTOMOTIVE SERVICE CO.,LTD.",14.53,219K,1.989B,Transportation
ZHEJIANG XIDAMEN NEW MATERIAL CO.，LTD,8.7,1.204M,1.667B,Commercial services
ZHEJIANG HUADA NEW MATERIALS,6.82,5.873M,3.6B,Non-energy minerals
ZHEJIANG XINZHONGGANG THERMAL POWER,6.22,1.588M,2.511B,Utilities
"HANGZHOU JUHESHUN NEW MATERICAL.,LTD",8.99,2.134M,2.809B,Process industries
JIANGSU LIBERT INC.,7.7,2.286M,3.507B,Industrial services
THREE’S COMPANY MEDIA GROUP,22.96,2.008M,5.051B,Commercial services
XINJIANG HONGTONG NATURAL GAS,7.71,1M,2.201B,Distribution services
"ZHEJIANG EAST-ASIA PHARMACEUTICAL CO., LTD",20.97,7.971M,2.43B,Health technology
BEIJING NEW SPACE TECHNOLOGY,14.58,10.525M,1.44B,Industrial services
ZHEJIANG YIMING FOOD,8.59,2.033M,3.489B,Consumer non-durables
"ZHEJIANG HUASHENG TECHNOLOGY CO.,LTD",10.71,1.941M,1.793B,Process industries
QUECHEN SILICON CHEMICAL,14.64,870.6K,6.061B,Process industries
SHANGHAI GENERAL HEALTHY INFORMATION AND TECHNOLOGY,18.18,1.744M,2.5B,Health technology
"JIANGXI GUOGUANG COMMERCIAL CHAINS CO.,LTD.",6.2,3.741M,3.107B,Retail trade
"WUHU FUCHUN DYE AND WEAVE CO.,LTD",10.98,1.131M,1.626B,Process industries
HEBEI HUATONG WIRES AND CABLES GROUP,8.11,4.813M,4.169B,Producer manufacturing
YANTAI NORTH ANDRE JUICE,21.31,896.6K,1.972B,Consumer non-durables
HAINAN HULUWA PHARMACEUTICAL GROUP,9.5,6.251M,4.065B,Health technology
"SHANGHAI YONGMAOTAI AUTOMOTIVE TECHNOLOGY CO.,LTD",6.01,2.901M,2.023B,Producer manufacturing
WAYS ELECTRON,17.52,8.404M,3.874B,Electronic technology
"SHANGHAI QIFAN CABLE CO., LTD",14.62,1.585M,6.134B,Producer manufacturing
"SHENTONG TECHNOLOGY GROUP CO.,LTD",7.76,3.078M,3.408B,Producer manufacturing
"NINGBO TIP RUBBER TECHNOLOGY CO.,LTD",12.93,4.788M,1.73B,Producer manufacturing
"JIANGSU XIEHE ELECTRONIC CO.,LTD",26.7,2.398M,2.373B,Electronic technology
LUTIAN MACHINERY CO LTD,12.02,325.128K,2.127B,Producer manufacturing
JZJ CHAIN DRUGSTORE CORPORATION,18.83,1.312M,2.944B,Retail trade
"WANGLI SECURITY & SURVEILLANCE PRODUCT CO., LTD",6.26,630.515K,2.783B,Consumer durables
"XINYA ELECTRONIC CO.,LTD",12.6,6.668M,4.132B,Producer manufacturing
JIANGSU TONGLI RISHENG MACHINERY,19.9,1.084M,3.417B,Producer manufacturing
"DECAI DECORATION CO.,LTD",10.5,6.781M,1.56B,Industrial services
CHANGZHOU KAIDI ELECTRICAL INC..,29,353.81K,2.037B,Producer manufacturing
SHANGHAI LUOMAN TECHNOLOGIES INC.,19.29,1.088M,2.151B,Distribution services
"YUNNAN SHENNONG AGRICULTURAL INDUSTRY GROUP CO.,LTD.",27.28,4.866M,14.223B,Process industries
JIANGSU BIDE SCIENCE AND TECHNOLOGY,7.62,729.89K,1.441B,Producer manufacturing
SHUHUA SPORTS,6.98,1.736M,2.89B,Consumer durables
JIAHE FOODS INDUSTRY,10.39,571.6K,4.24B,Consumer non-durables
"HANGZHOU LANDSCAPING CO.,LTD.",6.13,1.023M,1.013B,Consumer durables
FICONT INDUSTRY (BEIJING),20.76,1.64M,4.48B,Producer manufacturing
FSILON FURNISHING AND CONSTRUCTION,15.53,684.3K,1.993B,Non-energy minerals
"WUXI ZHENHUA AUTO PARTS CO., LTD",15.18,629.894K,3.827B,Producer manufacturing
KUNSHAN HUGUANG AUTO HARNESS,23.85,2.233M,10.618B,Producer manufacturing
"ZHEJIANG SANFER ELECTRIC CO.,LTD",9.86,666.08K,1.827B,Consumer durables
"ZHE JIANG LI ZI YUAN FOOD CO,LTD",8.83,2.133M,3.546B,Consumer non-durables
"ZHONGYIN BABI FOOD CO.,LTD.",12.65,502.3K,3.194B,Consumer non-durables
NAMCHOW FOOD GROUP（SHANGHAI),13.99,487.6K,6.029B,Consumer non-durables
"HANGZHOU LION MICROELECTRONICS CO.,LTD.",18.41,5.255M,12.541B,Electronic technology
LEEDARSON IOT TECHNOLOGY INC.,13.2,989.586K,6.718B,Producer manufacturing
"JIANGXI HUNGPAI NEW MATERIAL TECHNOLOGY CO.,LTD.",5.13,2.546M,3.166B,Process industries
"HENAN LANTIAN GAS CO.,LTD.",14.5,4.962M,9.771B,Utilities
ZHEJIANG GONGDONG MEDICAL TECHNOLOGY,27.9,435.2K,4.434B,Health technology
JIANGSU BOQIAN NEW MATERIALS STOCK,20,3.086M,5.373B,Commercial services
HANGZHOU HUAWANG NEW MATERIAL TECHNOLOGY,11.49,2.697M,5.456B,Process industries
"ZHEJIANG MUSTANG BATTERY CO.,LTD",14.16,1.69M,2.671B,Producer manufacturing
"JUNEYAO GRAND HEALTHY DRINKS CO.,LTD.",4.8,3.261M,2.96B,Communications
"JIANGSU CHANGLING HYDRAULIC CO., LTD",18.09,366.74K,2.651B,Producer manufacturing
SHANGHAI NEW CENTURION NETWORK INFORMATION TECHNOLOGY,14.1,4.6M,2.382B,Technology services
"JIANG XI CHENGUANG NEW MATERIALS CO.,LIMITED.",9.97,1.668M,3.234B,Process industries
ZHEJIANG FULAI NEW MATERIAL CO LTD,11.26,1.715M,2.166B,Process industries
"EASTROC BEVERAGE (GROUP) CO.,LTD.",234.6,601.317K,94.39B,Consumer non-durables
FOREST PACKAGING GROUP,6.03,897.286K,2.515B,Process industries
GUOBANG PHARMA LTD.,16.75,860.5K,9.472B,Health technology
NINGBO DECHANG ELECTRICAL MACHINERY MADE,15.21,2.13M,5.786B,Consumer durables
"HANGZHOU FLARIANT CO.,LTD",15.45,1.506M,2.087B,Process industries
SPRINGSNOW FOOD GROUP CO LTD,7.3,1.768M,1.47B,Process industries
HEILONGJIANG PUBLISHING & MEDIA,13.41,6.302M,6.151B,Consumer services
HENGSHENG ENERGY CO LTD,7.93,981.3K,2.251B,Utilities
"KEYSTONE TECHNOLOGY CO.,LTD.",33.69,1.018M,2.557B,Electronic technology
"JINAN SHENGQUAN GROUP SHARE HOLDING CO.,LTD.",17.33,4.147M,14.814B,Consumer non-durables
SHANGHAI GEOHARBOUR CONSTRUCTION GROUP,17.03,1.492M,4.367B,Industrial services
"BEIJING CAISHIKOU DEPARTMENT STORE CO.,LTD",11.01,1.984M,8.641B,Retail trade
"SUZHOU HYC TECHNOLOGY CO., LTD",20.87,568.468K,9.414B,Electronic technology
"RAYTRON TECHNOLOGY CO.,LTD.",24.1,2.828M,11.058B,Electronic technology
"SUZHOU TZTEK TECHNOLOGY CO., LTD",31.14,380.206K,5.884B,Electronic technology
BEIJING BOHUI SCIENCE & TECH CO LTD,9.98,1.265M,825.707M,Electronic technology
NINGBO RONBAY NEW ENERGY TECHNOLOGY,20.89,8.424M,10.144B,Process industries
ZHEJIANG HANGKE TECHNOLOGY INCORPORATED COMPANY,15.8,1.67M,9.737B,Electronic technology
APPOTRONICS CORPORATION LIMITED,14.36,3.712M,6.824B,Consumer durables
MONTAGE TECHNOLOGY,54.16,10.042M,62.645B,Electronic technology
CHINA RAILWAY SIGNAL & COMMUNICATION CORPORATION LIMITED,5.86,18.04M,56.118B,Electronic technology
"FUJIAN FORECAM OPTICS CO.,LTD.",13.72,453.574K,2.232B,Electronic technology
HARBIN XINGUANG OPTIC-ELECTRONICS TECHNOLOGY,12.39,434.849K,1.266B,Electronic technology
ADVANCED MICRO-FABRICATION EQUIPMENT INC. CHINA,138.8,5.869M,88.294B,Producer manufacturing
TOUCHSTONE INTERNATIONAL MEDICAL SCIENCE,14.09,199.408K,1.15B,Health technology
TRAFFIC CONTROL TECHNOLOGY,16.2,789.606K,3.089B,Producer manufacturing
SHANGHAI MICROPORT ENDOVASCULAR MEDTEC（GROUP）,80.27,3.858M,10.025B,Health technology
LEADER HARMONIOUS DRIVE SYSTEMS CO.LTD,61.5,3.837M,11.105B,Producer manufacturing
"ESPRESSIF SYSTEMS (SHANGHAI) CO.,LTD",99.34,1.114M,11.231B,Electronic technology
ANJI MICROELECTRONICS TECHNOLOGY (SHANGHAI),98.85,935.157K,12.907B,Producer manufacturing
"GUANGZHOU FANGBANG ELECTRONICS CO.,LTD",32.96,1.163M,2.593B,Process industries
AOFU ENVIRONMENTAL TECHNOLOGY,7.64,781.401K,594.499M,Non-energy minerals
SUZHOU HARMONTRONICS AUTOMATION TECHNOLOGY,10.76,1.681M,1.935B,Producer manufacturing
DBAPPSECURITY CO.LTD,28.28,3.222M,2.819B,Technology services
SHENZHEN JPT OPTO-ELECTRONICS,31.17,1.123M,3.032B,Electronic technology
"GUANGZHOU JET BIOFILTRATION CO.,LTD.",10.87,865.62K,1.54B,Health technology
QUANTUMCTEK,142.14,686.478K,11.676B,Electronic technology
"BEIJING WORLDIA DIAMOND TOOLS CO.,LTD.",13.83,733.848K,2.155B,Producer manufacturing
"MICRO-TECH(NANJING)CO.,LTD",57.59,1.117M,10.839B,Health technology
"HILLSTONE NETWORKS CO.,LTD.",9.68,608.48K,1.766B,Electronic technology
TRANSWARP TECHNOLOGY (SHANGHAI),27.34,1.019M,1.507B,Technology services
HOYMILES POWER ELECTRONICS INC.,129.35,1.984M,16.94B,Producer manufacturing
