Name,Stock Price,Market cap,Percentage change,Industry
KRANTI INDUSTRIES LIMITED          ,72.86,98.57L,-12.83%,Other Industrial Machinery & Equipment
EVANS ELECTRIC LIMITED          ,315.2,98.22L,71.40%,Maintenance & Repair Services
ACHYUT HEALTHCARE LIMITED          ,48.8,97.97L,-15.86%,Other Pharmaceuticals
THINKINK PICTUREZ LIMITED          ,5.54,97.92L,-64.83%,Entertainment Production Equipment & Services
TERAI TEA COMPANY LIMITED         ,122.15,97.88L,56.68%,Coffee & Tea
RAJGOR CASTOR DERIVATIVES          ,36.3,97.73L,-19.42%,"Starch, Vegetable Fat & Oil Manufacturing"
JOINDRE CAPITAL SERVICES          ,58.33,97.64L,19.16%,Brokerage Services
PRECISION METALIKS LIMITE          ,52,97.58L,47.31%,Primary Aluminum Production
VASUDHAGAMA ENTERPRISES L          ,17.69,97.56L,6.31%,Other Internet Services
WE WIN LIMITED         ,78.78,97.46L,-11.58%,Call Center Services
LEXUS GRANITO INDIA LIMIT         ,42.18,97.06L,-5.21%,Flooring & Interior Tile Manufacturers
KRYPTON INDUSTRIES LIMITE         ,56.35,96.89L,77.48%,Other Tires & Rubber Products
REAL TOUCH FINANCE LIMITE         ,64.73,96.79L,115.77%,Other Corporate Financial Services
GROWINGTON VENTURES INDIA         ,4.94,96.55L,-77.82%,Fishing & Farming Wholesale
PERFECTPAC LIMITED         ,116.15,96.36L,22.66%,Other Paper Packaging
COMRADE APPLIANCES LIMITE          ,111.97,96.21L,-14.40%,"Heating, Ventilation & Air Conditioning Systems"
DIVYASHAKTI LIMITED         ,78.31,95.99L,11.95%,Other Construction Materials
OMNITEX INDUSTRIES INDIA          ,187.3,95.99L,72.83%,Other Textiles & Leather Goods
MEDICAMEN ORGANICS LIMITE          ,68.9,9.6M,0.00%,Generic Pharmaceuticals
VADIVARHE SPECIALITY CHEM         ,59.7,9.58M,42.82%,Other Commodity Chemicals
EKANSH CONCEPTS LIMITED         ,55.68,9.57M,-2.59%,Other Construction & Engineering
MANUGRAPH INDIA LIMITED         ,27.98,9.55M,17.86%,Industrial Machinery
MAESTROS ELECTRONICS TELE         ,140.65,9.55M,41.33%,Other Advanced Medical Equipment & Technology
RAPICUT CARBIDES LIMITED         ,141,9.51M,79.02%,"Iron, Steel Mills & Foundries"
ESCORP ASSET MANAGEMENT L         ,71.44,9.48M,34.03%,Other Investment Management & Fund Operators
MORARKA FINANCE LIMITED         ,177.55,9.48M,31.52%,Other Investment Banking & Brokerage Services
SHEETAL UNIVERSAL LIMITED          ,75.4,9.44M,-8.16%,Other Fishing & Farming
CANDOUR TECHTEX LIMITED         ,46.3,9.43M,-5.70%,Industrial Machinery
ENVAIR ELECTRODYNE LIMITE         ,177.9,9.41M,35.44%,Other Industrial Machinery & Equipment
BOMBAY CYCLE MOTOR AGENCY         ,"1,968.80",9.41M,51.59%,"Other Auto Vehicles, Parts & Service Retailers"
SOFTRAK VENTURE INVESTMEN          ,17.82,9.4M,192.13%,Other IT Services & Consulting
BANG OVERSEAS LIMITED         ,58.26,9.4M,19.63%,Men's Clothing
RATHI BARS LIMITED         ,47.59,9.38M,49.84%,Other Steel
MENA MANI INDUSTRIES LIMI         ,7.37,9.28M,-20.32%,Other Electrical Components & Equipment
NATURITE AGRO PRODUCTS LI         ,139.17,9.26M,23.71%,Food Ingredients
ORIENT BEVERAGES LIMITED         ,346.65,9.25M,65.15%,Bottled Water & Ice
PATTECH FITWELL TUBE COMP          ,99.7,9.23M,84.63%,Plumbing Fixtures & Fittings
GODAVARI DRUGS LIMITED         ,111.1,9.22M,23.36%,Generic Pharmaceuticals
F MEC INTERNATIONAL FINAN          ,86.65,9.21M,-19.57%,Other Corporate Financial Services
MAX HEIGHTS INFRASTRUCTUR         ,49.9,9.19M,-7.28%,Other Real Estate Development & Operations
SHRI VASUPRADA PLANTATION         ,92.75,9.19M,20.45%,Coffee & Tea
RIBA TEXTILES LIMITED         ,79.35,9.19M,-4.48%,Other Textiles & Leather Goods
PIONEER INVESTCORP LIMITE         ,66.06,9.18M,88.69%,Other Investment Banking & Brokerage Services
VIRAT INDUSTRIES LIMITED         ,149.45,9.18M,-23.16%,Hosiery & Sock
TCFC FINANCE LIMITED         ,74.14,9.16M,48.97%,Other Investment Banking & Brokerage Services
BALKRISHNA PAPER MILLS LI         ,22.9,9.15M,-38.69%,Paper Mills & Products
RIDDHI STEEL AND TUBE LIM         ,92.17,9.12M,46.30%,Metallic Rolling & Drawing Products
TRANS INDIA HOUSE IMPEX L         ,22.92,9.11M,-27.61%,Other IT Services & Consulting
KIDUJA INDIA LIMITED         ,462.35,9.1M,154.04%,Other Investment Banking & Brokerage Services
AREX INDUSTRIES LIMITED         ,191.25,9.08M,56.76%,Other Textiles & Leather Goods
GV FILMS LIMITED         ,0.91,9.06M,46.77%,"Movie, TV Production & Distribution"
AUSTIN ENGINEERING COMPAN         ,233.65,9.05M,21.22%,Ball & Roller Bearings
SM AUTO STAMPING LIMITED          ,54.5,9.03M,10.39%,Metallic Rolling & Drawing Products
BIRLA TYRES LIMITED          ,5.3,9.02M,-.--%,Tire & Tube Manufacturers
ARVIND AND COMPANY SHIPPI          ,62.1,8.99M,4.99%,Other Marine Port Services
NOVA IRON STEEL LIMITED         ,20.62,8.97M,-4.45%,Other Steel
PUNJAB COMMUNICATIONS LIM         ,61.13,8.95M,35.06%,Other Communications & Networking
PUNJ LLOYD LIMITED        ,2.23,8.93M,-.--%,Other Construction & Engineering
KREON FINNANCIAL SERVICES         ,35.4,8.93M,-13.26%,Other Consumer Lending
SWARNSARITA JEWELS INDIA          ,35.4,8.9M,5.58%,Jewelry
MONOTYPE INDIA LIMITED         ,1.04,8.89M,36.84%,Other Financial & Commodity Market Operators
VERTEXPLUS TECHNOLOGIES L          ,130,8.89M,-32.76%,Other IT Services & Consulting
OLATECH SOLUTIONS LIMITED          ,188.55,8.86M,43.28%,Technology Consulting & Outsourcing Services
ARCL ORGANICS LTD          ,92.69,8.85M,245.09%,Other Commodity Chemicals
AKG EXIM LIMITED         ,22.77,8.83M,-8.74%,Food Wholesale
REX PIPES AND CABLES INDU          ,85.95,8.82M,28.86%,Plumbing Fixtures & Fittings
PROSPECT COMMODITIES LIMI          ,156.2,8.81M,158.10%,"Vegetable, Fruit & Nut Farming"
MAGSON RETAIL AND DISTRIB          ,94,8.8M,-24.71%,Other Food Retail & Distribution
GUJARAT CRAFT INDUSTRIES          ,151.65,8.79M,14.89%,Plastic Containers & Packaging
SRI KPR INDUSTRIES LIMITE         ,38.99,8.79M,65.84%,Other Construction Supplies & Fixtures
VIAZ TYRES LIMITED          ,59.5,8.76M,-9.16%,Tire & Tube Manufacturers
ANAND RAYONS LIMITED          ,47.08,8.74M,19.61%,Other Textiles & Leather Goods
AKIKO GLOBAL SERVICES LIM          ,69.3,8.73M,0.00%,Other Consumer Lending
UMA CONVERTER LIMITED          ,36.05,8.71M,24.53%,Plastic Containers & Packaging
MODIPON LIMITED         ,60.01,8.7M,46.08%,Other Real Estate Services
SRI HAVISHA HOSPITALITY A         ,2.37,8.69M,-21.52%,"Other Hotels, Motels & Cruise Lines"
EIKO LIFESCIENCES LIMITED          ,58.08,8.68M,-9.33%,Diversified Chemicals
PRUDENTIAL SUGAR CORPORAT          ,24.75,8.68M,-31.91%,Other Food Processing
MILTON INDUSTRIES LIMITED         ,42.45,8.68M,34.98%,Other Textiles & Leather Goods
ROLTA INDIA LIMITED        ,4.38,8.67M,62.22%,Other IT Services & Consulting
JOHNSON PHARMACARE LIMITE         ,1.38,8.66M,100.00%,Shell Companies
SMITHS FOUNDERS INDIA LIM         ,7.21,8.65M,42.77%,Other Steel
SAMBANDAM SPINNING MILLS          ,174.95,8.65M,-1.16%,Other Textiles & Leather Goods
AGARWAL FLOAT GLASS INDIA          ,98,8.64M,75.00%,Glass
GINI SILK MILLS LIMITED         ,134.2,8.61M,62.67%,Other Textiles & Leather Goods
DHAMPURE SPECIALITY SUGAR         ,87.05,8.6M,9.54%,Sugar & Artificial Sweeteners
STL GLOBAL LIMITED         ,26.57,8.6M,64.01%,Other Textiles & Leather Goods
ARISTO BIO TECH AND LIFES          ,106.25,8.59M,63.46%,Pesticide
TITAN INTECH LIMITED         ,40.85,8.58M,8.70%,Other IT Services & Consulting
SHREE KRISHNA PAPER MILLS         ,50.26,8.53M,25.56%,Paper Mills & Products
CLARA INDUSTRIES LIMITED          ,33.63,8.51M,-10.34%,Plastic Containers & Packaging
SVC INDUSTRIES LIMITED         ,4.45,8.5M,14.99%,Warehousing
ALFA TRANSFORMERS LIMITED         ,79.29,8.49M,6.46%,Other Heavy Electrical Equipment
VELS FILM INTERNATIONAL L          ,55.1,8.49M,-40.75%,Other Entertainment Production
BABA ARTS LIMITED         ,13.5,8.47M,5.47%,"Movie, TV Production & Distribution"
GARMENT MANTRA LIFESTYLE          ,7.08,8.47M,50.32%,Other Apparel & Accessories
ABC INDIA LIMITED         ,128.85,8.44M,-1.62%,Other Ground Freight & Logistics
FUNDVISER CAPITAL INDIA L         ,151.7,8.43M,169.45%,Other Investment Management & Fund Operators
SAMPRE NUTRITIONS LIMITED         ,76.72,8.41M,1.58%,Chocolate & Confectionery
TRIDHYA TECH LIMITED          ,30.25,8.41M,-13.07%,Other Software
GOLDEN TOBACCO LIMITED         ,41.34,8.4M,-16.90%,Other Tobacco
AKASH INFRA PROJECTS LIMI         ,40.43,8.39M,9.72%,Highway & Bridge Construction
ROLLATAINERS LIMITED         ,2.94,8.36M,119.40%,Other Paper Packaging
WARREN TEA LIMITED         ,58.34,8.36M,18.00%,"Coffee, Tea & Cocoa Farming"
G S AUTO INTERNATIONAL LI         ,46.66,8.35M,84.79%,"Other Auto, Truck & Motorcycle Parts"
LE LAVOIR LIMITED          ,219.15,8.35M,110.32%,Other Personal Services
GLOBE TEXTILES INDIA LIMI         ,4.72,8.35M,19.49%,Other Apparel & Accessories
MONO PHARMACARE LIMITED          ,39.6,8.35M,-19.18%,Other Pharmaceuticals
MEHTA HOUSING FINANCE LIM         ,230.95,8.33M,55.77%,Food Wholesale
SWASTI VINAYAKA SYNTHETIC         ,8.05,8.32M,14.02%,Other Textiles & Leather Goods
ELIXIR CAPITAL LIMITED         ,122.45,8.31M,116.04%,Other Investment Banking & Brokerage Services
NATIONAL OXYGEN LIMITED         ,140.1,8.31M,3.74%,Industrial Gas
LANDMARC LEISURE CORPORAT         ,0.91,8.3M,15.19%,Other Entertainment Production
KENVI JEWELS LIMITED         ,5.51,8.29M,-33.53%,Jewelry
K G DENIM LIMITED         ,26.99,8.29M,-19.70%,Other Textiles & Leather Goods
LAKSHMI FINANCE INDUSTRIA        ,227.01,8.22M,24.46%,Other Corporate Financial Services
PBM POLYTEX LIMITED         ,101.95,8.22M,8.11%,Yarn Goods
CHROME SILICON LIMITED         ,41.37,8.22M,-3.77%,Secondary Smelting & Alloying of Aluminum
VEERHEALTH CARE LIMITED         ,22.88,8.21M,12.27%,Other Pharmaceuticals
SUPER CROP SAFE LIMITED         ,16.61,8.21M,36.26%,Pesticide
MISH DESIGNS LIMITED          ,233,8.19M,87.53%,Other Apparel & Accessories
CCL INTERNATIONAL LIMITED         ,34.14,8.19M,34.15%,Other Construction & Engineering
ROYAL SENSE LIMITED          ,139,8.19M,0.00%,"Other Medical Equipment, Supplies & Distribution"
DHANALAXMI ROTO SPINNERS          ,172.6,8.18M,49.31%,Wood Product Wholesale
LEE NEE SOFTWARES EXPORTS         ,11.88,8.18M,41.77%,Other Software
BDR BUILDCON LIMITED         ,-,8.17M,-.--%,
SILGO RETAIL LIMITED         ,36.93,8.16M,35.52%,Jewelry
NAKODA GROUP OF INDUSTRIE          ,38.17,8.16M,-22.24%,Fruit & Vegetable Processing
KAVVERI TELECOM PRODUCTS          ,34.44,8.11M,141.18%,Other Communications & Networking
SHALIMAR PRODUCTIONS LIMI         ,0.68,8.1M,17.24%,"Movie, TV Production & Distribution"
MEDIAONE GLOBAL ENTERTAIN         ,44.57,8.09M,7.09%,"Movie, TV Production & Distribution"
FAIRDEAL FILAMENTS LTD         ,94.95,8.07M,-.--%,Yarn Goods
VEERAM SECURITIES LIMITED         ,9.58,8.07M,9.49%,Jewelry & Watch Retailers
M M RUBBER COMPANY LIMITE         ,103.75,8.05M,-5.55%,Other Home Furnishings
SINTEX PLASTICS TECHNOLOG         ,1.06,8.05M,-3.64%,Plastics
ULTRA WIRING CONNECTIVITY         ,129.5,8.04M,1.97%,Electrical Component
REAL ECO ENERGY LIMITED         ,34.03,8.04M,13.24%,Other Real Estate Development & Operations
ISL CONSULTING LIMITED         ,28.01,8.02M,1.82%,Other Investment Banking & Brokerage Services
ARC FINANCE LTD          ,1.38,80.13L,51.65%,Other Consumer Lending
SHREE PACETRONIX LIMITED         ,197.1,79.75L,-9.07%,Medical Devices & Implants
ACCELERATEBS INDIA LIMITE          ,311,79.74L,86.79%,Other IT Services & Consulting
SHREESHAY ENGINEERS LIMIT         ,52.76,79.54L,77.88%,Residential Builders - Multifamily Homes
UNIPLY INDUSTRIES LIMITED         ,3.97,79.41L,-.--%,Wood Products
GITA RENEWABLE ENERGY LIM         ,161.35,79.39L,10.02%,Solar Electric Ultilities
MEERA INDUSTRIES LIMITED          ,66.15,79.27L,74.68%,Industrial Machinery
DECCAN HEALTH CARE LIMITE         ,31.87,79.14L,-0.44%,Generic Pharmaceuticals
JAGAN LAMPS LIMITED         ,90.51,79.12L,18.47%,Lighting Equipment
CHARTERED CAPITAL AND INV         ,212.6,79.05L,-14.58%,Other Investment Banking & Brokerage Services
TRANSGENE BIOTEK LIMITED         ,8.68,79.02L,-12.06%,Other Biotechnology & Medical Research
G G DANDEKAR PROPERTIES L         ,135.5,78.8L,-8.42%,Industrial Machinery
PODDAR HOUSING AND DEVELO         ,89.43,78.79L,-32.20%,Residential Real Estate Development
MORGAN VENTURES LIMITED         ,65.58,78.68L,62.89%,Diversified Investment Services
ABHISHEK INTEGRATIONS LIM          ,104.05,78.67L,272.27%,Other Construction & Engineering
AJR INFRA AND TOLLING LIM        ,0.7,78.66L,-.--%,Other Construction & Engineering
KATARE SPINNING MILLS LIM         ,243.7,78.64L,0.29%,Yarn Goods
SHELTER PHARMA LIMITED          ,56.9,78.62L,3.45%,Other Pharmaceuticals
KALAHRIDHAAN TRENDZ LIMIT          ,39.2,78.44L,0.00%,Other Textiles & Leather Goods
NATIONAL PLASTIC INDUSTRI         ,71.09,78.27L,30.75%,Other Home Furnishings
AMBANI ORGOCHEM LIMITED         ,105.5,78.21L,-15.26%,Other Specialty Chemicals
SHREYAS INTERMEDIATES LIM         ,9.45,78.2L,-10.76%,Coloring Agent
ADVANCE METERING TECHNOLO         ,42.72,77.96L,-29.21%,Wind Electric Utilities
OCEANIC FOODS LIMITED         ,59.51,77.79L,96.73%,Other Food Processing
G TEC JAINX EDUCATION LIM         ,64.25,77.75L,-47.12%,Computer Training
MEDI CAPS LIMITED         ,51.07,77.62L,4.14%,Other Construction & Engineering
UR SUGAR INDUSTRIES LIMIT         ,12.49,77.55L,-18.47%,Sugar & Artificial Sweeteners
ISHAN INTERNATIONAL LIMIT          ,3.15,77.4L,11.50%,Other Electric Utilities
MEFCOM CAPITAL MARKETS LI          ,14.41,77.38L,12.58%,Other Financial & Commodity Market Operators
BANARAS BEADS LIMITED         ,98.3,77.2L,3.19%,Jewelry
PCS TECHNOLOGY LIMITED         ,31.2,77.04L,49.14%,Other IT Services & Consulting
FERVENT SYNERGIES LIMITED         ,21.26,77.03L,-4.75%,Fishing & Farming Wholesale
USHANTI COLOUR CHEM LIMIT         ,55.7,76.76L,-16.24%,Other Specialty Chemicals
THE RAVALGAON SUGAR FARM          ,"1,982.00",76.58L,110.26%,Other Food Processing
SUNRISE EFFICIENT MARKETI          ,43.41,76.44L,-37.51%,Industrial Machinery & Equipment Wholesale
DMR HYDROENGINEERING INFR          ,167,76.12L,49.71%,Civil Engineers & Architects
INLAND PRINTERS LIMITED         ,129,76.09L,505.63%,E-commerce & Auction Services
HARDCASTLE AND WAUD MANUF         ,954.6,75.88L,101.39%,Diversified Chemicals
JFL LIFE SCIENCES LIMITED          ,60.25,75.85L,45.18%,Other Pharmaceuticals
SAVEN TECHNOLOGIES LIMITE         ,56.22,75.8L,-14.81%,Other IT Services & Consulting
ROSE MERC LIMITED         ,147.4,7.58M,28.61%,Retail - Department Stores
HUMMING BIRD EDUCATION LI          ,982.3,7.56M,57.47%,Miscellaneous Educational Service Providers
ANG LIFESCIENCES INDIA LI         ,48.69,7.56M,-29.85%,Other Pharmaceuticals
AMKAY PRODUCTS LIMITED          ,73.88,7.54M,0.00%,Medical Equipment
INANI MARBLES AND INDUSTR         ,35.64,7.53M,70.53%,Other Construction Materials
MICROPRO SOFTWARE SOLUTIO          ,42.85,7.52M,-24.96%,Other IT Services & Consulting
SHRENIK LIMITED         ,1,7.52M,-20.00%,Other Paper Products
SUPREME ENGINEERING LIMIT         ,2.57,7.52M,144.76%,"Iron, Steel Mills & Foundries"
CAMEX LIMITED         ,60.4,7.51M,53.38%,Other Specialty Chemicals
APOORVA LEASING FINANCE A          ,30.21,7.5M,-17.01%,Other Investment Banking & Brokerage Services
METAL COATINGS INDIA LIMI         ,82.6,7.49M,-11.29%,Metallic Rolling & Drawing Products
BURNPUR CEMENT LIMITED         ,7.38,7.49M,20.59%,Cement & Concrete Manufacturing
HOAC FOODS INDIA LIMITED          ,163,7.47M,0.00%,Food Ingredients
GODHA CABCON INSULATION L         ,0.94,7.47M,44.62%,Other Electrical Components & Equipment
TIRUPATI TYRES LIMITED         ,25.11,7.47M,-46.78%,Other Tires & Rubber Products
COUNTRY CONDO S LIMITED        ,8.19,7.46M,53.08%,Land Division & Subdivision
ANKIT METAL POWER LIMITED         ,4.21,7.46M,-16.80%,Other Steel
GRETEX INDUSTRIES LIMITED         ,141,7.45M,217.21%,Musical Instrument Retailers
SPS FINQUEST LIMITED         ,62,7.44M,-11.30%,Other Corporate Financial Services
COMFORT FINCAP LIMITED         ,11.25,7.43M,15.98%,Other Corporate Financial Services
SIGNORIA CREATION LIMITED          ,128,7.43M,0.00%,Other Apparel & Accessories
AEONX DIGITAL TECHNOLOGY          ,134.3,7.42M,1.67%,Other IT Services & Consulting
MISHKA EXIM LIMITED         ,42.18,7.41M,22.08%,Jewelry & Watch Retailers
H P COTTON TEXTILE MILLS          ,161.6,7.41M,10.53%,Other Textiles & Leather Goods
SAVANI FINANCIALS LIMITED         ,19.41,7.41M,-2.36%,
GTN INDUSTRIES LIMITED         ,35.26,7.4M,-28.59%,Yarn Goods
ASSAM ENTRADE LIMITED          ,430.5,7.4M,50.00%,Other Corporate Financial Services
DSJ KEEP LEARNING LIMITED         ,4.05,7.39M,-29.81%,Other Software
ABM INTERNATIONAL LIMITED         ,103.35,7.37M,88.25%,Commodity Chemicals Wholesale
DILIGENT INDUSTRIES LIMIT         ,5.44,7.35M,-12.96%,"Starch, Vegetable Fat & Oil Manufacturing"
VIVID MERCANTILE LIMITED          ,63.01,7.35M,21.64%,Diversified Industrial Goods Wholesale
AATMAJ HEALTHCARE LIMITED          ,27.15,7.35M,-34.81%,"Hospitals, Clinics & Primary Care Services"
MITTAL LIFE STYLE LIMITED         ,2.09,7.34M,1.95%,Other Textiles & Leather Goods
SHRYDUS INDUSTRIES LIMITE         ,18.95,7.33M,-36.37%,Securities & Commodity Exchanges
NAAPBOOKS LIMITED          ,68,7.32M,110.31%,Other Software
FRANKLIN INDUSTRIES LIMIT          ,4.24,7.32M,-2.80%,Apparel Wholesale
NATH PULP PAPER MILLS LTD         ,57.75,7.31M,-.--%,Other Paper Products
VRUDDHI ENGINEERING WORKS          ,242,7.29M,0.00%,Other Construction & Engineering
TELOGICA LIMITED         ,25.98,7.26M,258.84%,Other Communications & Networking
PEARL POLYMERS LIMITED         ,36.58,7.24M,16.42%,Plastic Containers & Packaging
PALCO METALS LIMITED         ,154.09,7.23M,118.26%,Other Aluminum
CPS SHAPERS LIMITED          ,288,7.22M,-28.87%,Other Apparel & Accessories
ZODIAC JRD MKJ LIMITED         ,122.45,7.2M,119.52%,Jewelry
SHREE RAJASTHAN SYNTEX LI        ,21.96,7.2M,262.38%,Other Textiles & Leather Goods
GREENHITECH VENTURES LIMI          ,123.5,7.19M,0.00%,Petroleum Product Wholesale
DHANLAXMI FABRICS LIMITED         ,68.6,7.17M,25.73%,Other Textiles & Leather Goods
VISTAR AMAR LIMITED         ,187.6,7.16M,-17.59%,Fishing & Farming Wholesale
CELL POINT INDIA LIMITED          ,32.1,7.16M,-28.98%,Other Internet Services
CONSOLIDATED CONSTRUCTION        ,1.5,7.13M,-.--%,Other Construction & Engineering
PVV INFRA LIMITED         ,10.18,7.13M,21.43%,Other Construction & Engineering
ECOBOARD INDUSTRIES LIMIT         ,32.61,7.13M,22.87%,Wood Products
REGENCY FINCORP LIMITED          ,14.32,7.09M,33.46%,Other Consumer Lending
E LAND APPAREL LIMITED         ,12.62,7.09M,57.55%,Other Apparel & Accessories
SANDU PHARMACEUTICALS LIM         ,61.01,7.09M,-10.41%,Alternative Medicine
CHANDRA BHAGAT PHARMA LIM          ,83.7,7.08M,-28.49%,Other Pharmaceuticals
RR METALMAKERS INDIA LIMI         ,62.6,7.07M,-2.87%,Metal Merchant Wholesale
GKB OPHTHALMICS LIMITED        ,122.95,7.07M,22.88%,"Glasses, Spectacles & Contact Lenses"
COMMITTED CARGO CARE LIMI          ,54.75,7.06M,-0.45%,Integrated Logistics Operators
FUTURE ENTERPRISES LIMITE        ,0.81,7.05M,1.25%,Other Department Stores
LAXMI COTSPIN LIMITED         ,35.32,7.05M,40.72%,Yarn Goods
ASHNISHA INDUSTRIES LIMIT          ,5.79,7.04M,-55.67%,"Iron, Steel Mills & Foundries"
CONTINENTAL SEEDS AND CHE         ,61.9,7.04M,114.56%,Agriculture Support Services
WALCHAND PEOPLEFIRST LIMI         ,208.5,7.03M,4.12%,Professional & Business Education
CONTIL INDIA LIMITED         ,190.6,7.02M,58.17%,Other Food Retail & Distribution
S V J ENTERPRISES LIMITED          ,110.92,7.02M,85.18%,Other Aluminum
GOBLIN INDIA LIMITED          ,41.49,7M,-29.86%,Handbags & Luggage
D K ENTERPRISES GLOBAL LI          ,78,6.99M,2.63%,Other Paper Packaging
HAWA ENGINEERS LIMITED         ,166.5,6.99M,18.09%,Industrial Valve Manufacturing
HEMADRI CEMENTS LIMITED          ,87.8,6.99M,-10.50%,Cement & Concrete Manufacturing
