Name,Stock_price,Currency,Market Valuation,variation,Industry
LDR TURIZM,83.2,TRY,395M,29.86%,Passenger Car Rental
LUMI RENTAL COMPANY,85.2,SAR,1.27B,-14.80%,Passenger Car Rental
THEEB RENT A CAR COMPANY,71.1,SAR,81Cr,8.05%,Passenger Car Rental
UNITED INTERNATIONAL TRANSPORTATION COMPANY,92.8,SAR,195.82Cr,17.47%,Passenger Car Rental
TARKIM BITKI KORUMA SANAYI VE TICARET,445.75,TRY,28Cr,-19.17%,Pesticide
INDEPENDENT PETROLEUM GROUP K.S.C.P.,0.485,KWD,287M,15.48%,Petroleum Product Wholesale
OMAN OIL MARKETING COMPANY SAOG,0.8,OMR,13Cr,-8.05%,Petroleum Product Wholesale
"QATAR FUEL COMPANY Q.P.S.C. (""WOQOD"")",14.77,QAR,4.03B,-10.92%,Petroleum Product Wholesale
ASHDOD REFINERY LTD,"5,679.00",ILa,195M,-31.41%,Petroleum Refining
BAHADIR KIMYA SANAYI VE TICARET,60.25,TRY,107M,0.00%,Petroleum Refining
ISRAEL PETROCHEMICAL ENTERPRISES LTD.,184.9,ILa,45.96M,-37.07%,Petroleum Refining
OIL REFINERIES LTD.,94.4,ILa,740M,-23.79%,Petroleum Refining
SAUDI ARABIAN REFINERIES COMPANY,76.2,SAR,309M,-18.06%,Petroleum Refining
TRKIYE PETROL RAFINERILERI,164.3,TRY,9.13B,14.76%,Petroleum Refining
REKAH PHARMACEUTICAL INDUSTRY LTD.,"1,435.00",ILa,4.37Cr,-2.91%,Pharmaceuticals Wholesale
SELUK ECZA DEPOSU TICARET VE SANAYI,50.35,TRY,954M,-18.26%,Pharmaceuticals Wholesale
REEDER TEKNOLOJI SANAYI VE TICARET ANONIM SIRKETI,32.96,TRY,91Cr,52.78%,Phones & Smart Phones
"NEXTVISION STABILIZED SYSTEMS, LTD.","4,749.00",ILa,1.05B,56.47%,Photographic Equipment
ALFA SOLAR ENERJI SANAYI VE TICARET,58.75,TRY,63Cr,-30.06%,Photovoltaic Solar Systems & Equipment
APOLLO POWER LTD,540.8,ILa,69.41M,-16.16%,Photovoltaic Solar Systems & Equipment
CW ENERJI MHENDISLIK TICARET VE SANAYI ANONIM SIRKETI,212,TRY,770M,-21.73%,Photovoltaic Solar Systems & Equipment
NOSTROMO ENERGY LIMITED,401.9,ILa,82.71L,65.25%,Photovoltaic Solar Systems & Equipment
TIGI LTD.,810.1,ILa,12.78M,214.72%,Photovoltaic Solar Systems & Equipment
ARABIAN PLASTIC INDUSTRIAL COMPANY LIMITED,35.35,SAR,45.71M,-15.23%,Plastic Containers & Packaging
–ZERDEN AMBALAJ SANAYI,35.02,TRY,22.09M,-14.21%,Plastic Containers & Packaging
BRAM INDUSTRIES LTD.,158.3,ILa,85.94L,9.17%,Plastic Containers & Packaging
KOROPLAST TEMIZLIK AMBALAJ RNLERI SANAYI VE DIS TICARET A.S.,7.21,TRY,37.06M,-1.10%,Plastic Containers & Packaging
NATIONAL PRINTING COMPANY LTD.,10,EGP,4.34M,0.00%,Plastic Containers & Packaging
"PALESTINE PLASTIC INDUSTRIES CO., LTD.",2.42,JOD,23.9L,2.11%,Plastic Containers & Packaging
PLASTO-CARGAL GROUP LTD,390,ILa,7.12M,17.01%,Plastic Containers & Packaging
PLASTOPIL HAZOREA COMPANY LTD,573.9,ILa,23.38M,37.56%,Plastic Containers & Packaging
SEKURO PLASTIK AMBALAJ SANAYI,10.67,TRY,1.52Cr,-51.41%,Plastic Containers & Packaging
TAKWEEN ADVANCED INDUSTRIES,11.44,SAR,237M,-25.13%,Plastic Containers & Packaging
ZAHRAT AL WAHA FOR TRADING COMPANY,37,SAR,222M,0.14%,Plastic Containers & Packaging
"AL RASHID INDUSTRIAL CO.,",31.5,SAR,68.23M,-0.47%,Plastics
ASG PLASTIC FACTORY COMPANY,53,SAR,105M,0.00%,Plastics
GEDIZ AMBALAJ SANAYI VE TICARET,20.84,TRY,29.25M,3.17%,Plastics
GINEGAR PLASTIC PRODUCTS LTD.,990.9,ILa,4.08Cr,4.17%,Plastics
ISIK PLASTIK SANAYI VE DIS TICARET PAZARLAMA ANONIM SIRKETI,14.48,TRY,87.68M,99.59%,Plastics
KAFRIT INDUSTRIES (1993) LTD,"2,416.00",ILa,149M,61.93%,Plastics
KIMTEKS POLIRETAN SANAYI VE TICARET,44.98,TRY,329M,-22.85%,Plastics
PALRAM INDUSTRIES (1990) LTD,"5,830.00",ILa,401M,52.90%,Plastics
PETKIM PETROKIMYA HOLDING ANONIM SIRKETI,24.04,TRY,179.94Cr,32.13%,Plastics
RAINBOW POLIKARBONAT SANAYI TICARET ANONIM SIRKETI,26.24,TRY,23.37M,-33.70%,Plastics
RAM-ON INVESTMENTS AND HOLDINGS (1999) LTD,"1,219.00",ILa,5.52Cr,17.78%,Plastics
RIMONI INDUSTRIES LTD.,"4,560.00",ILa,95.69M,-15.51%,Plastics
RUBEX INTERNATIONAL FOR PLASTIC AND ACRYLIC MANUFACTURING,8.11,EGP,95.73L,28.32%,Plastics
SANIFOAM SNGER SANAYI VE TICARET,21.5,TRY,10Cr,174.80%,Plastics
TEMAPOL POLIMER PLASTIK VE INSAAT SANAYI TICARET ANONIM SIRKETI,66.45,TRY,27.58M,-29.79%,Plastics
B. GAON HOLDINGS LTD.,"2,343.00",ILa,17.28M,-27.73%,Plumbing Fixtures & Fittings
EGEPLAST EGE PLASTIK TICARET VE SANAYI ANONIM SIRKETI,6.3,TRY,34.13M,17.79%,Plumbing Fixtures & Fittings
EMILIA DEVELOPMENT (O.F.G) LTD.,"2,125.00",ILa,159M,-7.61%,Plumbing Fixtures & Fittings
HAMAT GROUP LTD.,"1,160.00",ILa,111M,-8.16%,Plumbing Fixtures & Fittings
KUZEY BORU ANONIM SIRKETI,79,TRY,237M,87.65%,Plumbing Fixtures & Fittings
MAZHAR ZORLU HOLDING,6.99,TRY,22.43M,-10.38%,Plumbing Fixtures & Fittings
MENDELSON INFRASTRUCTURES & INDUSTRIES LTD.,886,ILa,94.51M,14.10%,Plumbing Fixtures & Fittings
APM TERMINALS BAHRAIN B.S.C.,1.16,BHD,28Cr,1.75%,Port Operators
BAYANAT AI PLC,2.33,AED,163.12Cr,-30.03%,Portable Satellite Navigation
IMAGESAT INTERNATIONAL (I.S.I) LTD,"1,287.00",ILa,211M,23.51%,Portable Satellite Navigation
ARAB MOLTAQA INVESTMENTS COMPANY,2.22,EGP,23.24M,34.65%,Poultry Farming
DELMON POULTRY COMPANY B.S.C.,0.195,BHD,15.82M,2.63%,Poultry Farming
DHOFAR POULTRY COMPANY SAOG,0.05,OMR,36.36L,-.--%,Poultry Farming
ISMAILIA / MISR POULTRY COMPANY S.A.E,8.9,EGP,16.39M,-30.41%,Poultry Farming
MANSOURA POULTRY CO.S.A.E,1.28,EGP,12.78M,39.28%,Poultry Farming
PALESTINE POULTRY COMPANY L.T.D,2.93,JOD,5.55Cr,-2.33%,Poultry Farming
SOHAR POULTRY SAOC CO,0.206,OMR,0,-.--%,Poultry Farming
ALUMINIUM BAHRAIN B.S.C.,1.04,BHD,3.9B,-9.17%,Primary Aluminum Production
QATAR ALUMINIUM MANUFACTURING COMPANY Q.P.S.C.,1.254,QAR,192.21Cr,-10.43%,Primary Aluminum Production
A'SHARQIYA INVESTMENT HOLDING CO. (SAOG),0.073,OMR,17.06M,7.35%,Private Equity
INVESTCORP CAPITAL PLC,2,AED,119.24Cr,0.50%,Private Equity
IS GIRISIM SERMAYESI YATIRIM ORTAKLIGI,21.7,TRY,48.52M,-3.54%,Private Equity
QATAR OMAN INVESTMENT COMPANY Q.S.C.,0.732,QAR,63.34M,-23.03%,Private Equity
SPRING VENTURES LTD,757.6,ILa,17.32M,-22.69%,Private Equity
ACADEMY OF LEARNING COMPANY,7.7,SAR,185M,21.58%,Professional & Business Education
AL KHALEEJ TRAINING AND EDUCATION COMPANY,28.85,SAR,508M,12.26%,Professional & Business Education
ATAA EDUCATIONAL COMPANY,71.9,SAR,82Cr,0.14%,Professional & Business Education
NATIONAL COMPANY FOR LEARNING AND EDUCATION,200,SAR,224.61Cr,69.20%,Professional & Business Education
RASIYAT HOLDING COMPANY K.P.S.C.,0.384,KWD,189M,48.26%,Professional & Business Education
SUEZ CANAL COMPANY FOR TECHNOLOGY SETTLING (S.A.E),76.56,EGP,14Cr,-0.67%,Professional & Business Education
BESIKTAS FUTBOL YATIRIMLARI SANAYI VE TICARET,6.85,TRY,246M,-84.02%,Professional Sports Venues
FENERBAHE FUTBOL,138.6,TRY,388M,51.56%,Professional Sports Venues
GALATASARAY SPORTIF SINAI VE TICARI YATIRIMLAR,8.03,TRY,25Cr,27.46%,Professional Sports Venues
TRABZONSPOR SPORTIF YATIRIM VE FUTBOL ISLETMECILIGI TICARET,2.05,TRY,148M,-19.29%,Professional Sports Venues
KUWAIT REINSURANCE COMPANY K.S.C.P.,0.366,KWD,342M,4.57%,Property & Casualty Reinsurance
SAUDI REINSURANCE COMPANY,39.65,SAR,964M,113.17%,Property & Casualty Reinsurance
OMAN QATAR INSURANCE COMPANY SAOG,0.166,OMR,69.5M,-11.23%,Property Insurance
QATAR INSURANCE COMPANY Q.S.P.C.,2.108,QAR,189.12Cr,-18.61%,Property Insurance
PALMS SPORTS,9.77,AED,408M,-24.85%,Public Sport Facilities
AMIAD WATER SYSTEMS LTD.,900,ILa,7.78Cr,-9.36%,Purification & Treatment Equipment
ALAMAR FOODS COMPANY,79.7,SAR,54Cr,-16.81%,Quick Service Restaurants
AMERICANA RESTAURANTS INTERNATIONAL PLC,2.85,AED,632.98Cr,-8.95%,Quick Service Restaurants
BYK SEFLER GIDA TURIZM TEKSTIL DANISMANLIK ORGANIZASYON EGITIM SANAYI VE TICARET,29.32,TRY,94.49M,28.37%,Quick Service Restaurants
DEVELOPMENT WORKS FOOD COMPANY,119,SAR,96.26M,-12.50%,Quick Service Restaurants
ETILER GIDA VE TICARI YATIRIMLAR SANAYI VE TICARET ANONIM SIRKETI,21.68,TRY,26.42M,70.98%,Quick Service Restaurants
GHIDA AL-SULTAN COMPANY,55,SAR,46.91M,-15.38%,Quick Service Restaurants
SHATIRAH HOUSE RESTAURANT CO.,12.02,SAR,12Cr,1.86%,Quick Service Restaurants
TAB GIDA SANAYI VE TICARET,160.1,TRY,126.14Cr,36.60%,Quick Service Restaurants
TIKUN OLAM-CANNBIT PHARMACEUTICALS LTD,32,ILa,6.85M,1.59%,Recreational Pharmaceuticals
DORAL GROUP RENEWABLE ENERGY RESOURCES LTD,"1,174.00",ILa,56Cr,35.82%,Renewable Energy Services
ESENBOGA ELEKTRIK RETIM,19.72,TRY,151M,18.01%,Renewable Energy Services
MARGN ENERJI RETIM SANAYI VE TICARET,21.6,TRY,82Cr,127.85%,Renewable Energy Services
SOLAER RENEWABLE ENERGIES LTD,"3,268.00",ILa,14Cr,-0.64%,Renewable Energy Services
ECONERGY RENEWABLE ENERGY LTD,"1,309.00",ILa,155M,-18.19%,Renewable IPPs
ENERGIX - RENEWABLE ENERGIES LTD.,"1,325.00",ILa,199Cr,-0.82%,Renewable IPPs
ENLIGHT RENEWABLE ENERGY LTD,"6,103.00",ILa,197.8Cr,-14.28%,Renewable IPPs
NATUREL YENILENEBILIR ENERJI TICARET ANONIM SIRKETI,48.66,TRY,235M,8.13%,Renewable Utilities
GOLDEN HOUSE LTD,"2,320.00",ILa,97.27M,47.77%,Residential & Long-Term Care
MEDITERRANEAN TOWERS LTD.,754.5,ILa,313M,-14.65%,Residential & Long-Term Care
AFRICA ISRAEL RESIDENCES LTD,"23,330.00",ILa,81Cr,21.83%,Residential Builders - Multifamily Homes
AMOS LUZON DEVELOPMENT AND ENERGY GROUP LTD,248.9,ILa,26Cr,45.56%,Residential Builders - Multifamily Homes
AURA INVESTMENTS LTD.,"1,635.00",ILa,119.03Cr,57.21%,Residential Builders - Multifamily Homes
BAIT VEGAG REAL ESTATE DEVELOPMENT LTD,671.9,ILa,10Cr,-10.45%,Residential Builders - Multifamily Homes
BONEI HATICHON CIVIL ENGINEERING & INFRASTRUCTURES LTD.,"3,558.00",ILa,152M,22.52%,Residential Builders - Multifamily Homes
DUNIEC BROS. LTD,"20,150.00",ILa,43Cr,0.55%,Residential Builders - Multifamily Homes
EFFI CAPITAL NADLAN LTD,"1,199.00",ILa,149M,0.00%,Residential Builders - Multifamily Homes
IHLAS HOLDING,1.11,TRY,4.95Cr,10.00%,Residential Builders - Multifamily Homes
KARDAN REAL ESTATE ENTERPRISE AND DEVELOPMENT LTD,447.9,ILa,223M,6.64%,Residential Builders - Multifamily Homes
KVUTZAT ACRO LTD,"4,405.00",ILa,735M,11.61%,Residential Builders - Multifamily Homes
MASLAVI CONSTRUCTION COMPANY LTD,"1,300.00",ILa,7.96Cr,23.22%,Residential Builders - Multifamily Homes
MORDECHAI AVIV TAASIOT BENIYAH (1973) LTD.,"1,358.00",ILa,48.84M,5.60%,Residential Builders - Multifamily Homes
NETANEL GROUP LTD,"1,122.00",ILa,85.98M,25.04%,Residential Builders - Multifamily Homes
ROTSHTEIN REALESTATE LTD,"4,044.00",ILa,169M,29.45%,Residential Builders - Multifamily Homes
THEMIS G.R.E.N. LTD,"1,587.00",ILa,26.62M,42.08%,Residential Builders - Multifamily Homes
UNION CONSTRUCTION AND INVESTMENT,0.42,USD,1.34Cr,-8.70%,Residential Builders - Multifamily Homes
Y.H. DIMRI CONSTRUCTION & DEVELOPMENT LTD,"33,000.00",ILa,172.11Cr,26.92%,Residential Builders - Multifamily Homes
ZVI SARFATI & SONS INVESTMENTS & CONSTRUCTIONS LTD.,"3,465.00",ILa,164M,26.37%,Residential Builders - Multifamily Homes
ASCE GAYRIMENKUL YATIRIM ORTAKLIGI,11.75,TRY,230M,-18.63%,Residential Real Estate Development
BAIT BAKFAR LTD,"1,196.00",ILa,227M,24.11%,Residential Real Estate Development
CIELO-BLU GROUP LTD,237.2,ILa,1.09M,-93.75%,Residential Real Estate Development
DAP GAYRIMENKUL GELISTIRME,5.56,TRY,407M,34.98%,Residential Real Estate Development
INTERNATIONAL CO. FOR INVESTMENT & DEVELOPMENT,3.33,EGP,6.83M,-17.37%,Residential Real Estate Development
ISRAS INVESTMENT COMPANY LTD,"72,660.00",ILa,978M,-4.48%,Residential Real Estate Development
RETAL URBAN DEVELOPMENT COMPANY,13.14,SAR,176.16Cr,54.23%,Residential Real Estate Development
VIEW UNITED REAL ESTATE DEVELOPMENT CO.,70,SAR,62M,-10.26%,Residential Real Estate Development
Z.M.H HAMMERMAN LTD,"2,750.00",ILa,147M,-0.87%,Residential Real Estate Development
IHDATHIAT REALESTATE CO.LTD,0.33,JOD,20.89L,-5.71%,Residential Real Estate Services
KUWAIT REMAL REAL ESTATE COMPANY K.S.C.P.,0.0079,KWD,79.16L,-.--%,Residential Real Estate Services
ADRA GAYRIMENKUL YATIRIM ORTAKLIGI ANONIM SIRKETI,31.22,TRY,27Cr,9.16%,Residential REITs
EMLAK KONUT GAYRIMENKUL YATIRIM ORTAKLIGI,11.66,TRY,1.3B,69.48%,Residential REITs
IDEALIST GAYRIMENKUL YATIRIM ORTAKLIGI,3.16,TRY,4.78M,-39.77%,Residential REITs
MEGUREIT ISRAEL LTD,388.4,ILa,158M,2.21%,Residential REITs
SINPAS GAYRIMENKUL YATIRIM ORTAKLIGI,6.97,TRY,301M,155.31%,Residential REITs
ISROTEL LTD.,"7,500.00",ILa,111.72Cr,7.14%,Resort Operators
PETROKENT TURIZM,211.8,TRY,525.18Cr,-2.62%,Resort Operators
SALALAH BEACH RESORT SAOG,1.245,OMR,20.21M,0.00%,Resort Operators
HAMASHBIR 365 LTD,131,ILa,62.19M,29.19%,Retail - Department Stores
MULTI RETAIL GROUP LTD,510.4,ILa,35.99M,147.17%,Retail - Department Stores
AL RAJHI BANKING AND INVESTMENT CORPORATION,88.6,SAR,94.56B,2.43%,Retail & Mortgage Banks
BANK OF JERUSALEM LTD.,"1,268.00",ILa,242M,0.48%,Retail & Mortgage Banks
EXPORT INVESTMENT CO. LTD.,"4,554.00",ILa,14Cr,10.32%,Retail & Mortgage Banks
MICHLOL FINANCE LTD,586.1,ILa,69.25M,9.39%,Retail & Mortgage Banks
SHL FINANCE COMPANY,15.72,SAR,421M,-13.91%,Retail & Mortgage Banks
A. LIBENTAL HOLDINGS LTD,"1,258.00",ILa,34.44M,-15.80%,Retail Real Estate Development
ARABIAN CENTRES COMPANY,22.72,SAR,279.2Cr,9.34%,Retail Real Estate Development
ARI REAL ESTATE (ARENA) INVESTMENT LTD,228.7,ILa,194M,-10.14%,Retail Real Estate Development
BLUE SQUARE REAL ESTATE LTD,"28,250.00",ILa,960M,18.85%,Retail Real Estate Development
EGYPTIAN RESORTS COMPANY (S.A.E),6.18,EGP,13Cr,47.49%,Retail Real Estate Development
LODZIA REAL ESTATE LTD.,"2,159.00",ILa,23.03M,-8.67%,Retail Real Estate Development
MEDIPOWER (OVERSEAS) PUBLIC CO. LIMITED,507,ILa,69.97M,-11.07%,Retail Real Estate Development
MEGA OR HOLDINGS LTD,"9,467.00",ILa,958M,10.73%,Retail Real Estate Development
RANI ZIM SHOPPING CENTERS LTD,286.5,ILa,111M,-7.28%,Retail Real Estate Development
THE MALL OF CYPRUS (MC) PLC,0.75,EUR,83.95M,-.--%,Retail Real Estate Development
SEEF PROPERTIES B.S.C.,0.12,BHD,15Cr,-23.08%,Retail Real Estate Services
WOOLWORTH (CYPRUS) PROPERTIES PLC,0.14,EUR,3.35Cr,129.51%,Retail Real Estate Services
PANORA GAYRIMENKUL YATIRIM ORTAKLIGI,48.7,TRY,12Cr,35.94%,Retail REITs
YENI GIMAT GAYRIMENKUL YATIRIM ORTAKLIGI,49.4,TRY,347M,33.37%,Retail REITs
MISR INTERCONTINENTAL FOR GRANITE & MARBLE (EGY-STON),5.25,EGP,0,-.--%,Rock Mining
SAUDI LIME INDUSTRIES COMPANY,12,SAR,70.36M,-14.29%,Rock Mining
VIKING KAGIT VE SELLOZ,43.52,TRY,5.49Cr,77.63%,Sanitary Products
AL YAH SATELLITE COMMUNICATION COMPANY,1.96,AED,1.31B,-24.90%,Satellite Service Operators
SPACE-COMMUNICATION LTD,32.3,ILa,32.35L,-65.12%,Satellite Service Operators
AL FALEH EDUCATIONAL HOLDING COMPANY Q.P.S.C.,0.898,QAR,5.92Cr,6.02%,"School, College & University (NEC)"
ALISRA FOR EDUCATION AND INVESTMENT COMPANY (PLC),3.9,JOD,8.25Cr,4.00%,"School, College & University (NEC)"
MAJAN COLLEGE (UNIVERSITY COLLEGE) SAOG,0.11,OMR,25.71M,2.61%,"School, College & University (NEC)"
DARDANEL ONENTAS GIDA SANAYI,5.8,TRY,10Cr,15.08%,Seafood Product Preparation & Packaging
OMAN FISHERIES COMPANY SAOG,0.04,OMR,1.89Cr,-9.09%,Seafood Product Preparation & Packaging
SAUDI FISHERIES COMPANY,19.98,SAR,214M,-18.11%,Seafood Product Preparation & Packaging
TUGELIK ALMINYUM VE METAL MAMULLERI SANAYI VE TICARET,9.68,TRY,5.23Cr,-7.54%,Secondary Smelting & Alloying of Aluminum
BOURSA KUWAIT SECURITIES COMPANY K.P.S.C.,2.02,KWD,1.33B,17.17%,Securities & Commodity Exchanges
DUBAI FINANCIAL MARKET,1.3,AED,274.29Cr,-6.47%,Securities & Commodity Exchanges
PALESTINE SECURITIES EXCHANGE COMPANY P.L.C.,3,USD,3Cr,-.--%,Securities & Commodity Exchanges
SAUDI TADAWUL GROUP HOLDING COMPANY,245.4,SAR,7.68B,31.37%,Securities & Commodity Exchanges
TERA YATIRIM MENKUL DEGERLER,17.85,TRY,87.62M,37.31%,Securities & Commodity Exchanges
SENKRON SIBER GVENLIK YAZILIM VE BILISIM C–ZMLERI,58.2,TRY,13.2M,124.02%,Security & Surveillance
BATIC INVESTMENTS AND LOGISTICS COMPANY,3.35,SAR,54Cr,58.02%,Security Services
G1 SECURE SOLUTIONS LTD,487,ILa,10Cr,22.39%,Security Services
HOMEBIOGAS LTD,108.5,ILa,7.29M,-72.37%,Semiconductor Machinery Manufacturing
QUALITAU LTD,"14,470.00",ILa,171M,94.18%,Semiconductor Testing Equipment & Service
TELSYS LTD.,"17,340.00",ILa,418M,-26.99%,Semiconductor Wholesale
HIPER GLOBAL LTD.,"1,594.00",ILa,201M,7.92%,Servers & Systems
MIAHONA COMPANY LIMITED,33.2,SAR,1.45B,0.00%,Sewage Treatment Facilities
E7 GROUP,1.05,AED,58Cr,-5.75%,Shell Companies
AL SEER MARINE SUPPLIES & EQUIPMENT COMPANY,4.05,AED,110.26Cr,-46.07%,Ship Repairing & Maintenance
THE BAHRAIN SHIP REPAIRING AND ENGINEERING COMPANY BSC,1.1,BHD,5.77Cr,21.55%,Ship Repairing & Maintenance
FIRE & GAS DETECTION TECHNOLOGIES LTD,"1,059.00",ILa,60.39M,37.35%,Signs & Advertising Specialty Producers
ASTOR ENERJI,72.8,TRY,212.1Cr,-22.80%,Smart Grid & Electrical Transmission
EUROPOWER ENERJI VE OTOMASYON TEKNOLOJILERI SANAYI TICARET ANONIM SIRKETI,88.85,TRY,57Cr,-45.19%,Smart Grid & Electrical Transmission
AL-BABTAIN POWER AND TELECOMMUNICATIONS COMPANY,43.9,SAR,762M,59.64%,Smart Grid & Power Distribution Construction
INTER INDUSTRIES PLUS LTD,243,ILa,28.86M,-11.48%,Smart Grid & Power Distribution Construction
RAWASI ALBINA INVESTMENT CO.,4.41,SAR,72.41M,-16.95%,Smart Grid & Power Distribution Construction
FESH FASH SNACK FOOD PRODUCTION COMPANY,12.5,SAR,3.8Cr,-28.16%,Snack Food & Non-Chocolate Confectionary
AKSU ENERJI VE TICARET ANONIM SIRKETI,11.66,TRY,22.94M,-43.29%,Solar Electric Ultilities
KARTAL YENILENEBILIR ENERJI URETIM,34.12,TRY,5.51Cr,51.56%,Solar Electric Ultilities
MESHEK ENERGY - RENEWABLE ENERGIES LTD.,263,ILa,499M,-16.74%,Solar Electric Ultilities
O.Y. NOFAR ENERGY LTD,"8,728.00",ILa,82Cr,-9.79%,Solar Electric Ultilities
FLYING SPARK LTD.,61,ILa,19.44L,-53.93%,Special Foods & Wellbeing Products
TOPGUM INDUSTRIES LTD.,628.3,ILa,182M,6.06%,Special Foods & Wellbeing Products
COMPUTER STATIONERY INDUSTRY SAOG,0.26,OMR,6.75M,0.00%,Specialized Printing Services
GULF PHARMACEUTICAL INDUSTRIES,0.97,AED,304M,26.14%,Specialty & Advanced Pharmaceuticals
ALTINYAG MADENCILIK VE ENERJI YATIRIMLARI SANAYI VE TICARET,6.95,TRY,5.76Cr,1.91%,"Starch, Vegetable Fat & Oil Manufacturing"
CAIRO OIL & SOAP COMPANY,0.232,EGP,1.48Cr,-26.35%,"Starch, Vegetable Fat & Oil Manufacturing"
EXTRACTED OIL & DERIVATIVES CO.,3.17,EGP,13M,13.62%,"Starch, Vegetable Fat & Oil Manufacturing"
JORDAN VEGETABLE OIL INDUSTRIES CO. LTD.,3.15,JOD,1.78Cr,-1.25%,"Starch, Vegetable Fat & Oil Manufacturing"
THE VEGETABLE OIL INDUSTRIES CO. LTD.,7.12,JOD,8.03Cr,-11.00%,"Starch, Vegetable Fat & Oil Manufacturing"
UNIVERSAL MODERN INDUSTRIES CO. FOR EDIBLE OIL,1.95,JOD,16.5M,-2.50%,"Starch, Vegetable Fat & Oil Manufacturing"
GENCELL LTD,62,ILa,1.79Cr,-52.34%,Stationary Fuel Cells
EMIRATES CENTRAL COOLING SYSTEMS CORPORATION,1.7,AED,465.56Cr,2.41%,Steam & Air-Conditioning Supply
NATIONAL CENTRAL COOLING COMPANY,3,AED,231.35Cr,-16.20%,Steam & Air-Conditioning Supply
BOR SEKER,29.12,TRY,202M,0.00%,Sugar & Artificial Sweeteners
DELTA SUGAR COMPANY,59.6,EGP,174M,-17.43%,Sugar & Artificial Sweeteners
KAYSERI SEKER FABRIKASI ANONIM SIRKETI,24.56,TRY,55Cr,-27.34%,Sugar & Artificial Sweeteners
KUTAHYA SEKER FABRIKASI ANONIM SIRKETI,65.3,TRY,89.1M,2.11%,Sugar & Artificial Sweeteners
ADESE GAYRIMENKUL YATIRIM,2,TRY,5.93Cr,6.99%,Supermarkets & Convenience Stores
BINDAWOOD HOLDING COMPANY,7.37,SAR,219.55Cr,19.06%,Supermarkets & Convenience Stores
CARREFOURSA CARREFOUR SABANCI TICARET MERKEZI,100.6,TRY,348M,-10.49%,Supermarkets & Convenience Stores
ERSAN ALISVERIS HIZMETLERI VE GIDA SANAYI TICARET,8.7,TRY,61.09M,42.76%,Supermarkets & Convenience Stores
M.YOCHANANOF AND SONS (1988) LTD,"21,300.00",ILa,84Cr,35.76%,Supermarkets & Convenience Stores
MIGROS TICARET,482.5,TRY,253.15Cr,44.03%,Supermarkets & Convenience Stores
SAUDI MARKETING COMPANY,23.62,SAR,28Cr,4.05%,Supermarkets & Convenience Stores
SHUFERSAL LTD,"2,987.00",ILa,213.74Cr,74.78%,Supermarkets & Convenience Stores
SPINNEYS 1961 HOLDING PLC,1.51,AED,1.48B,0.00%,Supermarkets & Convenience Stores
TIV TAAM HOLDINGS 1 LTD.,576.5,ILa,166M,11.08%,Supermarkets & Convenience Stores
UNION COOP,2.38,AED,113.11Cr,-6.67%,Supermarkets & Convenience Stores
ULUSOY ELEKTRIK IMALAT TAAHHT VE TICARET,154.9,TRY,368M,17.97%,Switchgear
DIRITEKS DIRILIS TEKSTIL SANAYI VE TICARET,61.95,TRY,1.85Cr,458.11%,Synthetic Fabrics
KORDSA TEKNIK TEKSTIL,76.6,TRY,45Cr,-1.23%,Synthetic Fabrics
N.R. SPUNTECH INDUSTRIES LTD.,438,ILa,7.7Cr,15.11%,Synthetic Fabrics
NRGENE TECHNOLOGIES LTD,325,ILa,11.75M,85.61%,System Software
SAVERONE 2014 LTD.,21.8,ILa,5.96M,-54.96%,System Software
UPSELLON BRANDS HOLDINGS LTD,144.3,ILa,81.76L,35.11%,System Software
ACISELSAN ACIPAYAM SELLOZ SANAYI VE TICARET,106.4,TRY,34.24M,0.09%,Tanning & Softening Agents
DUBAI TAXI COMPANY,2.22,AED,151.31Cr,4.23%,Taxi & Limousine
EASY LEASE MOTOR CYCLE RENTAL,28.62,AED,236M,-8.50%,Taxi & Limousine
INTERNET RESEARCH INSTITUTE LTD,-,ILa,1.82Cr,0.00%,Technology Consulting & Outsourcing Services
C. MER INDUSTRIES LTD.,"1,561.00",ILa,5.47Cr,85.77%,Telecommunication Construction
"TAYA INVESTMENT CO., LTD.","5,808.00",ILa,46.08M,11.76%,Television Broadcasting
ARAD LTD.,"4,753.00",ILa,322M,-14.74%,Testing & Measuring Equipment
CI SYSTEMS (ISRAEL) LTD.,"1,500.00",ILa,4.32Cr,2.60%,Testing & Measuring Equipment
MANAS ENERJI YONETIMI SANAYI VE TICARET ANONIM SIRKETI,14.84,TRY,35.69M,108.85%,Testing & Measuring Equipment
TEDEA TECHNOLOGICAL DEVELOPMENT AND AUTOMATION LTD.,760.3,ILa,11.41M,-35.18%,Testing & Measuring Equipment
SANKO PAZARLAMA ITHALAT IHRACAT ANONIM SIRKETI,22.82,TRY,10Cr,19.79%,Textiles & Leather Goods Wholesale
BRISA BRIDGESTONE SABANCI LASTIK SANAYI VE TICARET,86.8,TRY,789M,12.49%,Tire & Tube Manufacturers
GOODYEAR LASTIKLERI T.A.S.,15.75,TRY,13Cr,-15.87%,Tire & Tube Manufacturers
DENIZLI CAM SANAYI VE TICARET AS,-,TRY,12.73M,0.00%,Tools & Housewares
KTAHYA PORSELEN SANAYI ANONIM SIRKETI,74.5,TRY,87.54M,36.32%,Tools & Housewares
AUTOMATIC BANK SERVICES LIMITED,"1,488.00",ILa,161M,-5.76%,Transaction & Payment Services
